Results11,Results12,Results13,Results14,Results15,Results16,Results17,Results18,Results19,Results110,Results111,Results112,Results113,Results114,Results115,Results116,Results117,Results118,Results119,Results120,Results121,Results122
File Name,Hz range,24h REM power,24h Wake power,24h NREM power,LP REM power,LP Wake power,LP NREM power,DP REM power,DP Wake power,DP NREM power,File Name,Hz range,24h REM power,24h Wake power,24h NREM power,LP REM power,LP Wake power,LP NREM power,DP REM power,DP Wake power,DP NREM power
C_181215Sat_181216Sun_A2AR.0002_Ch1_AE_cFFT,0,0.15199,0.20696,0.35534,0.15489,0.20686,0.36852,0.13372,0.207,0.33385,C_181215Sat_181216Sun_A2AR.0002_Ch3_AE_cFFT,0,0.082684,0.3063,0.30847,0.082888,0.2845,0.32058,0.082153,0.3183,0.29111
 ,0.48828,0.73219,1.0747,1.7407,0.75147,1.0661,1.835,0.61082,1.0787,1.5869, ,0.48828,0.40129,1.5965,1.4332,0.40258,1.6158,1.5293,0.39793,1.5859,1.2953
 ,0.97656,1.0268,2.0059,3.6783,1.0446,1.9598,3.7521,0.91527,2.0269,3.5578, ,0.97656,0.69607,2.5948,3.2088,0.70412,2.6318,3.3319,0.67515,2.5743,3.0323
 ,1.4648,1.0614,2.5536,5.5759,1.0711,2.4235,5.481,0.99996,2.6127,5.7308, ,1.4648,0.89314,3.0368,5.1774,0.91037,3.0165,5.2217,0.84841,3.048,5.114
 ,1.9531,1.1567,2.831,7.1131,1.1577,2.7112,6.8956,1.1503,2.8853,7.4681, ,1.9531,1.034,3.1055,7.2349,1.0471,3.1397,7.0531,1.0001,3.0866,7.4955
 ,2.4414,1.4159,2.9922,8.5683,1.4042,2.9833,8.2138,1.4896,2.9963,9.1467, ,2.4414,1.2275,3.292,8.9725,1.2144,3.4471,8.2835,1.2616,3.2066,9.96
 ,2.9297,1.9045,3.2794,10.0304,1.9026,3.4787,9.3022,1.9167,3.1888,11.2186, ,2.9297,1.4111,3.8479,9.8346,1.3152,4.2806,8.2875,1.6602,3.6099,12.0523
 ,3.418,1.9156,3.6423,9.9886,1.8801,3.992,8.8759,2.1392,3.4835,11.8041, ,3.418,1.3459,4.3881,10.1806,1.1142,4.9479,7.8535,1.9476,4.0801,13.5164
 ,3.9062,1.4915,3.6448,7.9416,1.4573,3.7638,6.8468,1.7072,3.5907,9.7278, ,3.9062,1.1817,4.3907,8.5027,1.0259,4.865,6.8174,1.5861,4.1297,10.9185
